rank,Borough,Ratio 2018-1998
1,Hackney,6.198285561008663
2,Waltham Forest,5.83475580932281
3,Southwark,5.516485302379378
4,Lewisham,5.449221041059686
5,Westminster,5.353565392605412
6,Newham,5.305390437201879
7,Haringey,5.134624964136042
8,Kensington & Chelsea,5.082465066092464
9,Lambeth,4.957751163514062
10,Camden,4.935353408884261
11,Barking & Dagenham,4.89661861291754
12,Brent,4.8945544971392865
13,Islington,4.844048012802297
14,Greenwich,4.7630363473291935
15,Wandsworth,4.75770934773927
16,Merton,4.741273313294603
17,Tower Hamlets,4.62670104006116
18,Redbridge,4.471182006097364
19,Barnet,4.358195917538044
20,Havering,4.325230371335307
21,Ealing,4.311450902121834
22,Kingston upon Thames,4.270549521484271
23,Enfield,4.263471583495811
24,Bexley,4.248977046127877
25,Croydon,4.201100280024766
26,Hillingdon,4.2002730803844575
27,Hammersmith & Fulham,4.13779810193623
28,Sutton,4.118522608573157
29,Bromley,4.094784685333876
30,Harrow,4.0591964329643195
31,Richmond upon Thames,4.005161895721457
32,Hounslow,3.976409106143329
