,PERSON_ID,FIRST_NAME,LAST_NAME,BIRTHDATE,SCHOOL,COUNTRY,LAST_AFFILIATION,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,ROSTERSTATUS,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,FROM_YEAR,TO_YEAR,NBA_FLAG,GAMES_PLAYED_FLAG,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GREATEST_75_FLAG,HEIGHT_DEC
0,1630173,Precious,Achiuwa,1999-09-19T00:00:00,Memphis,Nigeria,Memphis/Nigeria,6-8,225.0,2,5.0,Forward,Active,Raptors,TOR,Toronto,2020.0,2022.0,Y,Y,2020,1,20,N,6.667
1,203500,Steven,Adams,1993-07-20T00:00:00,Pittsburgh,New Zealand,Pittsburgh/New Zealand,6-11,265.0,9,4.0,Center,Active,Grizzlies,MEM,Memphis,2013.0,2022.0,Y,Y,2013,1,12,N,6.917
2,1628389,Bam,Adebayo,1997-07-18T00:00:00,Kentucky,USA,Kentucky/USA,6-9,255.0,5,13.0,Center-Forward,Active,Heat,MIA,Miami,2017.0,2022.0,Y,Y,2017,1,14,N,6.75
3,1630534,Ochai,Agbaji,2000-04-20T00:00:00,Kansas,USA,Kansas/USA,6-5,215.0,0,30.0,Guard,Active,Jazz,UTA,Utah,2022.0,2022.0,Y,Y,2022,1,14,N,6.417
4,1630583,Santi,Aldama,2001-01-10T00:00:00,Loyola-Maryland,Spain,Loyola-Maryland/Spain,7-0,215.0,1,7.0,Forward-Center,Active,Grizzlies,MEM,Memphis,2021.0,2022.0,Y,Y,2021,1,30,N,7.0
5,1629638,Nickeil,Alexander-Walker,1998-09-02T00:00:00,Virginia Tech,Canada,Virginia Tech/Canada,6-5,205.0,3,9.0,Guard,Active,Timberwolves,MIN,Minnesota,2019.0,2022.0,Y,Y,2019,1,17,N,6.417
6,1628960,Grayson,Allen,1995-10-08T00:00:00,Duke,USA,Duke/USA,6-4,198.0,4,12.0,Guard,Active,Bucks,MIL,Milwaukee,2018.0,2022.0,Y,Y,2018,1,21,N,6.333
7,1628386,Jarrett,Allen,1998-04-21T00:00:00,Texas,USA,Texas/USA,6-9,243.0,5,31.0,Center,Active,Cavaliers,CLE,Cleveland,2017.0,2022.0,Y,Y,2017,1,22,N,6.75
8,1630631,Jose,Alvarado,1998-04-12T00:00:00,Georgia Tech,USA,Georgia Tech/USA,6-0,179.0,1,15.0,Guard,Active,Pelicans,NOP,New Orleans,2021.0,2022.0,Y,Y,Undrafted,Undrafted,Undrafted,N,6.0
9,203937,Kyle,Anderson,1993-09-20T00:00:00,UCLA,USA,UCLA/USA,6-9,230.0,8,5.0,Forward-Guard,Active,Timberwolves,MIN,Minnesota,2014.0,2022.0,Y,Y,2014,1,30,N,6.75
